datum_zobrazeni;datum;body;incidence14_100;incidence14_100_body;incidence_65_14_100;incidence_65_14_100_body;incidence_65_roste;incidence_65_roste_body;simple_r;simple_r_body;pozit_perc_test;pozit_perc_test_body;pozit_perc_test_roste;pozit_perc_test_roste_body
2020-10-01;2020-09-30;52;278.157561900000;13;145.147140900000;10;1;2;1.017070740617;10;0.152996073180;15;1;2
2020-10-02;2020-10-01;52;281.682923300000;13;155.514793800000;10;1;2;1.061107404936;10;0.157628731121;15;1;2
2020-10-03;2020-10-02;52;297.458214400000;13;170.667517300000;10;1;2;1.094382756368;10;0.163726975130;15;1;2
2020-10-04;2020-10-03;52;302.208568700000;13;181.551207200000;10;1;2;1.146183357586;10;0.167603277007;15;1;2
2020-10-05;2020-10-04;57;310.213102900000;13;189.244850100000;10;1;2;1.215817055740;15;0.174917750274;15;1;2
2020-10-06;2020-10-05;57;325.567594800000;13;208.760432100000;10;1;2;1.286442006269;15;0.182720492746;15;1;2
2020-10-07;2020-10-06;62;344.924353800000;13;225.226704400000;10;1;2;1.395259650446;15;0.193668025097;20;1;2
2020-10-08;2020-10-07;70;373.267511600000;13;248.354545500000;13;1;2;1.468516860638;20;0.206971677559;20;1;2
2020-10-09;2020-10-08;70;396.514324600000;13;267.494827900000;13;1;2;1.529143582640;20;0.217161824365;20;1;2
2020-10-10;2020-10-09;80;449.535012300000;13;304.555668600000;13;1;2;1.753134796238;25;0.246117817175;25;1;2
2020-10-11;2020-10-10;80;474.362159700000;13;323.367563700000;13;1;2;1.695603614580;25;0.255367300752;25;1;2
2020-10-12;2020-10-11;78;491.194124000000;16;339.740011100000;13;1;2;1.561933943135;20;0.257686589354;25;1;2
2020-10-13;2020-10-12;78;519.471824100000;16;364.603613100000;13;1;2;1.457183499288;20;0.259493808307;25;1;2
2020-10-14;2020-10-13;83;578.954115900000;16;406.684086800000;13;1;2;1.499037626901;20;0.272314052419;30;1;2
2020-10-15;2020-10-14;83;640.848989300000;16;447.497924100000;13;1;2;1.402611916469;20;0.281935753024;30;1;2
2020-10-16;2020-10-15;86;699.022128300000;16;483.339041000000;16;1;2;1.444790419161;20;0.292506698025;30;1;2
2020-10-17;2020-10-16;86;767.369254600000;16;527.718225000000;16;1;2;1.463881837064;20;0.289990570620;30;1;2
2020-10-18;2020-10-17;86;824.962626000000;16;566.233351900000;16;1;2;1.529006526468;20;0.295870730272;30;1;2
2020-10-19;2020-10-18;86;855.063788900000;16;589.924142500000;16;1;2;1.429405840886;20;0.298201108222;30;1;2
2020-10-20;2020-10-19;81;901.426499600000;16;621.965350400000;16;1;2;1.378286702938;15;0.304893893460;30;1;2
2020-10-21;2020-10-20;85;971.793461600000;20;673.662877700000;16;1;2;1.330466677718;15;0.310423355123;30;1;2
2020-10-22;2020-10-21;85;1061.853822000000;20;736.900869200000;16;1;2;1.372122812549;15;0.321812358163;30;1;2
2020-10-23;2020-10-22;85;1143.769381800000;20;795.447615200000;16;1;2;1.350905674832;15;0.327417900153;30;1;2
2020-10-24;2020-10-23;85;1205.795170500000;20;846.159980800000;16;1;2;1.377395378328;15;0.336855390340;30;1;2
2020-10-25;2020-10-24;85;1279.060970800000;20;901.282117400000;16;1;2;1.353742732558;15;0.339457520698;30;1;2
2020-10-26;2020-10-25;85;1318.298150000000;20;932.807288300000;16;1;2;1.311496347522;15;0.342949540368;30;1;2
2020-10-27;2020-10-26;89;1374.077409600000;20;979.813569800000;20;1;2;1.240883565283;15;0.347207040668;30;1;2
2020-10-28;2020-10-27;89;1442.714419800000;20;1038.125753500000;20;1;2;1.216343946636;15;0.353925278075;30;1;2
2020-10-29;2020-10-28;84;1474.816716200000;20;1075.749543700000;20;1;2;1.126414587675;10;0.352403926934;30;1;2
2020-10-30;2020-10-29;84;1505.937148100000;20;1115.296744700000;20;1;2;1.061309647271;10;0.353731039811;30;1;2
2020-10-31;2020-10-30;84;1529.305525300000;20;1157.330305900000;20;1;2;1.013515118405;10;0.346166171119;30;1;2
2020-11-01;2020-10-31;79;1554.684387100000;20;1188.104877400000;20;1;2;0.975659440502;5;0.346828609986;30;1;2
2020-11-02;2020-11-01;79;1568.636215300000;20;1203.069951100000;20;1;2;0.927475577264;5;0.345453944022;30;1;2
2020-11-03;2020-11-02;77;1579.520885600000;20;1227.605165900000;20;1;2;0.936711734722;5;0.344074991451;30;0;0
2020-11-04;2020-11-03;77;1580.502750200000;20;1247.683697400000;20;1;2;0.907479364495;5;0.334738359765;30;0;0
2020-11-05;2020-11-04;77;1587.572175200000;20;1274.846009800000;20;1;2;0.957171314741;5;0.340565601144;30;0;0
