datum_zobrazeni;datum;kraj_kod;kraj;body;incidence14_100;incidence14_100_body;incidence_65_14_100;incidence_65_14_100_body;incidence_65_roste;incidence_65_roste_body;simple_r;simple_r_body;pozit_perc_test;pozit_perc_test_body;pozit_perc_test_roste;pozit_perc_test_roste_body
2020-10-01;2020-09-30;CZ010;Hl. m. Praha;41;478.525263200000;13;202.654817900000;10;0;0;0.937246331564;5;0.147940074906;11;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;52;346.823897300000;13;193.100752400000;10;1;2;1.046374367622;10;0.169477637418;15;1;2
2020-10-01;2020-09-30;CZ031;Jihočeský kraj;41;211.929207800000;10;106.954305400000;7;1;2;0.899456521739;5;0.156353330184;15;1;2
2020-10-01;2020-09-30;CZ032;Plzeňský kraj;45;270.046228200000;13;157.907928800000;10;0;0;0.958937198067;5;0.165520116739;15;1;2
2020-10-01;2020-09-30;CZ041;Karlovarský kraj;33;206.676078500000;10;187.776263700000;10;1;2;0.748554913294;0;0.121482176360;11;0;0
2020-10-01;2020-09-30;CZ042;Ústecký kraj;44;209.631348400000;10;122.580125900000;10;1;2;0.938189845474;5;0.172729120097;15;1;2
2020-10-01;2020-09-30;CZ051;Liberecký kraj;44;262.345331100000;13;74.522278800000;7;1;2;0.910472972972;5;0.162643331321;15;1;2
2020-10-01;2020-09-30;CZ052;Královéhradecký kraj;42;187.619981600000;10;101.334092600000;7;1;2;1.125523012552;10;0.122495446265;11;1;2
2020-10-01;2020-09-30;CZ053;Pardubický kraj;40;234.759749100000;10;142.338690600000;10;1;2;0.995176848874;5;0.141972477064;11;1;2
2020-10-01;2020-09-30;CZ063;Kraj Vysočina;57;276.571997900000;13;145.746037500000;10;1;2;1.150943396226;10;0.206295525494;20;1;2
2020-10-01;2020-09-30;CZ064;Jihomoravský kraj;47;244.884810100000;13;145.838571700000;10;1;2;0.960444993819;5;0.185242579568;15;1;2
2020-10-01;2020-09-30;CZ071;Olomoucký kraj;62;252.683876100000;13;131.362889900000;10;1;2;1.238750000000;15;0.223449830890;20;1;2
2020-10-01;2020-09-30;CZ072;Zlínský kraj;62;302.289054200000;13;167.299878800000;10;1;2;1.320051413881;15;0.193810152859;20;1;2
2020-10-01;2020-09-30;CZ080;Moravskoslezský kraj;38;174.921431100000;10;95.088216100000;7;1;2;1.123781676413;10;0.094967465612;7;1;2
2020-10-02;2020-10-01;CZ010;Hl. m. Praha;47;469.690253600000;13;207.432534600000;10;1;2;0.970830691185;5;0.151554147693;15;1;2
2020-10-02;2020-10-01;CZ020;Středočeský kraj;52;350.939001800000;13;207.954656500000;10;1;2;1.076146403029;10;0.169471313104;15;1;2
2020-10-02;2020-10-01;CZ031;Jihočeský kraj;41;218.450106500000;10;108.471387800000;7;1;2;0.960948396094;5;0.161245026913;15;1;2
2020-10-02;2020-10-01;CZ032;Plzeňský kraj;45;270.385269300000;13;142.033586700000;10;0;0;0.973809523809;5;0.172501054407;15;1;2
2020-10-02;2020-10-01;CZ041;Karlovarský kraj;31;213.124100600000;10;204.393632200000;10;0;0;0.771771771771;0;0.125610948191;11;0;0
2020-10-02;2020-10-01;CZ042;Ústecký kraj;44;206.586151600000;10;141.771963800000;10;1;2;0.917109458023;5;0.180392976588;15;1;2
2020-10-02;2020-10-01;CZ051;Liberecký kraj;49;259.640740100000;13;81.195915700000;7;1;2;1.012727272727;10;0.168176328502;15;1;2
2020-10-02;2020-10-01;CZ052;Královéhradecký kraj;47;185.082126700000;10;101.334092600000;7;1;2;1.202959830866;15;0.124753343565;11;1;2
2020-10-02;2020-10-01;CZ053;Pardubický kraj;49;238.968970300000;10;148.937173000000;10;1;2;1.049600000000;10;0.154789995280;15;1;2
2020-10-02;2020-10-01;CZ063;Kraj Vysočina;57;282.260358200000;13;160.128870100000;10;1;2;1.154929577464;10;0.214772132006;20;1;2
2020-10-02;2020-10-01;CZ064;Jihomoravský kraj;57;257.636605700000;13;166.792389500000;10;1;2;1.041611624834;10;0.190504952887;20;1;2
2020-10-02;2020-10-01;CZ071;Olomoucký kraj;67;269.930302200000;13;149.692595500000;10;1;2;1.232987312572;15;0.239042933810;25;1;2
2020-10-02;2020-10-01;CZ072;Zlínský kraj;62;305.893864000000;13;181.310213500000;10;1;2;1.372353673723;15;0.199204627621;20;1;2
2020-10-02;2020-10-01;CZ080;Moravskoslezský kraj;43;183.167727100000;10;107.129955200000;7;1;2;1.229348882410;15;0.101216194591;7;1;2
2020-10-03;2020-10-02;CZ010;Hl. m. Praha;43;473.088334200000;13;215.395395800000;10;1;2;0.961079723791;5;0.148814152410;11;1;2
2020-10-03;2020-10-02;CZ020;Středočeský kraj;52;359.530185000000;13;225.153913800000;10;1;2;1.060162601626;10;0.169692237621;15;1;2
2020-10-03;2020-10-02;CZ031;Jihočeský kraj;46;228.076195100000;10;119.090964200000;7;1;2;1.018055555555;10;0.164128974473;15;1;2
2020-10-03;2020-10-02;CZ032;Plzeňský kraj;47;282.421228000000;13;155.401453700000;10;1;2;0.992890995260;5;0.166501092787;15;1;2
2020-10-03;2020-10-02;CZ041;Karlovarský kraj;36;209.730404800000;10;206.055369000000;10;0;0;0.903654485049;5;0.138917262512;11;0;0
2020-10-03;2020-10-02;CZ042;Ústecký kraj;49;222.786598600000;10;160.344710100000;10;1;2;0.931382441977;5;0.193257956448;20;1;2
