datum,pocet_PCR_testy,pocet_AG_testy,typologie_test_indik_diagnosticka,typologie_test_indik_epidemiologicka,typologie_test_indik_preventivni,typologie_test_indik_ostatni,incidence_pozitivni,pozit_typologie_test_indik_diagnosticka,pozit_typologie_test_indik_epidemiologicka,pozit_typologie_test_indik_preventivni,pozit_typologie_test_indik_ostatni,PCR_pozit_sympt,PCR_pozit_asymp,AG_pozit_symp,AG_pozit_asymp_PCR_conf
2020-09-01,11137,0,2552,2028,1127,5430,498,116,44,18,320,368,130,0,0
2020-09-02,11810,0,2757,2148,1801,5104,645,215,76,36,318,444,201,0,0
2020-09-03,11541,0,3321,2134,1245,4841,675,256,79,31,309,433,242,0,0
2020-09-04,13654,0,2909,2657,1631,6457,797,265,91,41,400,567,230,0,0
2020-09-05,7468,0,2493,1473,776,2726,504,193,68,17,226,304,200,0,0
2020-09-06,4537,0,1124,885,325,2203,410,147,51,16,196,263,147,0,0
2020-09-07,11604,0,2276,2308,1102,5918,561,154,73,26,308,380,181,0,0
2020-09-08,16115,0,4686,3280,2030,6119,1161,448,147,57,509,811,350,0,0
2020-09-09,15507,0,4358,3305,1543,6301,1158,429,183,44,502,739,419,0,0
2020-09-10,16513,0,5074,3780,1498,6161,1382,581,242,81,478,840,542,0,0
2020-09-11,19217,0,6595,4334,1669,6619,1443,572,240,83,548,906,537,0,0
2020-09-12,13317,0,5249,3095,1361,3612,1537,817,270,85,365,792,745,0,0
2020-09-13,7090,0,2008,1634,615,2833,791,338,132,40,281,450,341,0,0
2020-09-14,17519,0,4459,3986,2043,7031,1028,332,167,70,459,619,409,0,0
2020-09-15,20461,0,6460,4873,2552,6576,1676,570,310,99,697,1070,606,0,0
2020-09-16,20587,0,7396,4892,2549,5750,2133,924,418,110,681,1242,891,0,0
2020-09-17,23591,0,8600,5665,2622,6704,3124,1559,610,189,766,1742,1382,0,0
2020-09-18,21580,0,7506,5444,2049,6581,2108,1062,415,92,539,1230,878,0,0
2020-09-19,15231,0,5894,3803,1414,4120,2045,872,346,171,656,1124,921,0,0
2020-09-20,10561,0,3401,2618,818,3724,984,391,183,61,349,555,429,0,0
2020-09-21,19410,0,6382,4626,2350,6052,1476,598,316,85,477,810,666,0,0
2020-09-22,22400,0,8320,5441,2620,6019,2387,1153,454,92,688,1361,1026,0,0
2020-09-23,22445,0,8896,5801,2902,4846,2306,1215,491,114,486,1245,1061,0,0
2020-09-24,23163,0,9335,5962,2938,4928,2906,1438,642,275,551,1479,1427,0,0
2020-09-25,23132,0,9509,6496,3206,3921,2945,1628,711,214,392,1481,1464,0,0
2020-09-26,15388,0,6656,4041,1715,2976,1981,1062,470,111,338,993,988,0,0
2020-09-27,10468,0,4296,2739,1394,2039,1304,651,298,100,255,628,676,0,0
2020-09-28,12218,0,3763,3756,2084,2615,1284,542,316,98,328,607,677,0,0
2020-09-29,18323,0,7096,4732,3034,3461,1963,1036,479,118,330,942,1021,0,0
2020-09-30,21092,0,9451,5193,3102,3346,2926,1677,635,297,317,1390,1536,0,0
2020-10-01,23921,0,10268,6017,3667,3969,3502,2123,789,245,345,1813,1689,0,0
2020-10-02,23639,0,10491,5910,3369,3869,3795,2215,902,289,389,1924,1871,0,0
2020-10-03,15201,0,7093,3661,1888,2559,2554,1557,561,180,256,1289,1265,0,0
2020-10-04,7776,0,3739,1725,887,1425,1841,978,346,90,427,1026,815,0,0
2020-10-05,17768,0,7344,4177,3180,3067,3118,1781,724,194,419,1524,1594,0,0
2020-10-06,23045,0,10913,5609,3165,3358,4458,2644,907,384,523,2351,2107,0,0
2020-10-07,24020,0,11749,5731,3333,3207,5336,3237,1108,341,650,2907,2429,0,0
2020-10-08,25073,0,12083,5998,3441,3551,5394,3435,1133,239,587,3020,2374,0,0
2020-10-09,27743,0,13544,7003,3482,3714,8618,5367,1839,572,840,4486,4132,0,0
2020-10-10,18124,0,9251,4173,2365,2335,4636,3027,950,296,363,2407,2229,0,0
2020-10-11,11504,0,5385,2874,1198,2047,3104,1838,639,256,371,1511,1593,0,0
2020-10-12,22048,0,8563,4996,3531,4958,4308,2220,891,275,922,2159,2149,0,0
2020-10-13,31638,0,15494,6703,4329,5112,8324,5083,1418,738,1085,4414,3910,0,0
2020-10-14,34859,0,18043,7615,4867,4334,9545,6282,1683,659,921,5190,4355,0,0
2020-10-15,34806,0,17600,7704,4184,5318,9724,6196,1611,630,1287,5714,4010,0,0
2020-10-16,38723,0,20208,8257,4684,5574,11104,7208,1929,806,1161,6041,5063,0,0
2020-10-17,29279,0,16216,6644,3294,3125,8713,5919,1533,598,663,4522,4191,0,0
2020-10-18,17240,0,8865,4465,1980,1930,5059,3287,1056,362,354,2463,2596,0,0
2020-10-19,31165,0,14633,6960,5511,4061,8077,5103,1556,675,743,4079,3998,0,0
2020-10-20,40598,0,22112,9433,5504,3549,11985,8046,2176,1017,746,6401,5584,0,0
2020-10-21,45245,0,24225,10802,5614,4604,14971,9848,2848,1182,1093,7764,7207,0,0
2020-10-22,46425,0,24769,11433,6212,4011,14155,9610,2878,871,796,7443,6712,0,0
2020-10-23,45252,0,24965,11304,5399,3584,15248,10100,3037,1413,698,7834,7414,0,0
2020-10-24,39192,0,22832,10036,4270,2054,12473,8784,2531,691,467,6971,5502,0,0
2020-10-25,21593,0,11543,5687,2282,2081,7300,4787,1568,420,525,3809,3491,0,0
2020-10-26,35597,0,18463,8421,5539,3174,10271,6696,2119,909,547,4784,5487,0,0
2020-10-27,47498,0,27479,11158,5716,3145,15665,10490,2978,1309,888,8190,7475,0,0
2020-10-28,40123,0,22536,10512,4948,2127,12977,8899,2570,827,681,6741,6236,0,0
2020-10-29,42577,0,23217,11228,4975,3157,13051,8674,2624,987,766,6921,6130,0,0
2020-10-30,46822,0,26862,11632,5269,3059,13603,9260,2720,836,787,7199,6404,0,0
2020-10-31,36296,0,20485,9581,3720,2510,11427,7817,2378,649,583,6268,5159,0,0
2020-11-01,20643,0,10944,5901,2370,1428,6551,4227,1621,431,272,3362,3189,0,0
2020-11-02,32728,188,17084,7899,5334,2599,9239,6390,1739,530,580,4463,4776,0,0
2020-11-03,43327,302,24553,10599,5704,2773,12090,8491,2347,748,504,6523,5537,19,11
2020-11-04,45484,633,25391,11557,6217,2952,15725,10529,3095,1377,724,8372,7314,32,7
2020-11-05,43233,839,24188,11020,5977,2887,13235,9224,2636,821,554,6840,6355,25,15
2020-11-06,40325,563,22182,10374,5848,2484,11546,7639,2560,786,561,5790,5671,49,36
